,img_id,turn_index,instruction,reverse_instruction,source_global_caption,target_global_caption,target_local_caption
0,100081,1,change the frisbee into a ball,change the ball into a frisbee,Two people in an ocean playing with a yellow Frisbee.,Two people in an ocean playing with a yellow ball.,Two people in an ocean playing with a yellow ball.
1,100081,3,add a dog barking near shore,remove the dog barking near shore,Two people and a whale playing with a yellow ball in the ocean.,"Two people, a whale, and a dog playing with a yellow ball in the ocean.",dog barking near shore
2,100558,1,get rid of the vase on top of the table,insert a vase on top of the table,A kitchen filled with wooden floors and a stove top oven.,"A kitchen filled with wooden floors and a stove top oven, minus the vase on top of the table.",kitchen with wooden floors and stove top oven
3,102171,1,Let the monitor turn black.,Let the monitor turn white.,A desk with a black and white computer on it,A desk with a black computer monitor on it,black computer desk
4,102625,1,let there be a game show on TV,let the TV be off,An empty kitchen filled with dishes and appliances.,"An empty kitchen filled with dishes and appliances, with a game show on TV.",kitchen with game show on TV
5,102625,2,let there be granite floor in the kitchen,let there be wooden floor in the kitchen,"An empty kitchen filled with dishes and appliances, with a game show on TV.","An empty kitchen with granite floors filled with dishes and appliances, with a game show on TV.",kitchen with granite floor
6,102724,1,remove middle fruit and put a cat in place,remove the cat and put a fruit in place,some fruits are sitting on a table in bowls.,A cat sits on a table surrounded by bowls of fruit.,cat sitting on table with fruit bowls
7,104304,1,let the woman cry,let the woman laugh,A woman getting her hair styled taking a selfie in the mirror.,A woman crying while getting her hair styled in front of the mirror.,woman crying while getting her hair styled and taking a selfie in the mirror.
8,104304,2,let the woman have blonde hair,let the woman have brown hair,A woman crying while getting her hair styled in front of the mirror.,A blonde woman crying while getting her hair styled in front of the mirror.,blonde woman getting hair styled in front of mirror
9,104304,3,let the woman hold a cup,let the women hold a camera,A blonde woman crying while getting her hair styled in front of the mirror.,A blonde woman holding a cup while getting her hair styled in front of the mirror.,woman holding a cup
10,106508,1,change the double deck bus to a truck,change the truck to a double deck bus,A police officer directing traffic in front of a yellow double deck bus.,A police officer directing traffic in front of a yellow truck.,A police officer directing traffic in front of a yellow truck.
11,106508,2,add a pedestrian,remove the pedestrian ,A police officer directing traffic in front of a yellow truck.,A police officer directing traffic in front of a yellow truck with a pedestrian crossing the street.,pedestrian and police officer directing traffic in front of a yellow truck.
12,106772,1,What if the child was holding a bottle of pepper?,What if the child was holding a bottle of salt?,A small child cooking some macaroni and cheese,A small child cooking macaroni and cheese while holding a bottle of pepper,child holding bottle of pepper
13,106772,2,What if there was a drawing of a bird on his shirt?,What if there was a drawing of a gorilla on his shirt?,A small child cooking macaroni and cheese while holding a bottle of pepper,A small child with a bird drawing on his shirt cooking macaroni and cheese while holding a bottle of pepper,child cooking with bird drawing on shirt
14,108871,1,put a lion in the place of the donkey,put a donkey in the place of the lion,A zebra and donkey standing in the dirt.,A zebra and lion standing in the dirt.,zebra and lion standing in the dirt.
15,108871,2,turn the basin into a plastic pool,turn the plastic pool into a basin,A zebra and lion standing in the dirt.,A zebra and lion standing by a plastic pool.,plastic pool with zebra and lion
16,109776,1,change the bag of chips into a backpack,change the backpack into a bag of chips,Some remote controls are sitting on a bed next to a snack.,Some remote controls are sitting on a bed next to a backpack.,remote controls and a backpack on a bed
17,11091,1,Let the man press the keyboard.,Let the man not press the keyboard.,A person laying in bed with his laptop.,A person typing on his laptop while laying in bed.,man typing on laptop in bed
18,111376,1,Have the cow wear a hat.,Remove the hat on the cow,A bull is on a farm walking around a pen.,A stylish cow wearing a hat walks around a pen on a farm.,hat-wearing cow in pen
19,112286,1,let it be a single sink,let it be a double sink,a silver sink with some apples a vase and some bananas,A silver sink with a vase and some bananas,"silver sink with apples, vase, and bananas"
20,121612,1,Let water run from the faucet.,Remove the water running from the faucet,A white wall mounted oven sitting next to a stove.,A white wall mounted oven sitting next to a stove with water running from the faucet.,water running from faucet
21,122896,1,Have there be a dolphin jumping out of the water,Remove the dolphin jumping out of the water,A man tries to stand on his surf board in the water.,A man tries to stand on his surf board as a dolphin jumps out of the water.,dolphin jumping out of the water
22,125106,1,replace the chocolate with berries,replace the berries with chocolate,A kitchen counter topped with ripe bananas and chocolate.,A kitchen counter topped with ripe bananas and berries.,kitchen counter topped with ripe bananas and berries.
23,125106,2,add a lizard on the counter,remove the lizard on the counter,A kitchen counter topped with ripe bananas and berries.,"A kitchen counter topped with ripe bananas, berries, and a curious lizard.",lizard on kitchen counter with bananas and berries
24,125106,3,let the plate contain ice cream,remove the ice cream from the plate,"A kitchen counter topped with ripe bananas, berries, and a curious lizard.","A kitchen counter topped with ripe bananas, berries, and a scoop of ice cream, with a curious lizard.","kitchen counter with plate of ice cream, ripe bananas, berries, and a curious lizard."
25,129062,1,Add a cat falling out of a tree.,remove the cat falling from the tree,A hotdog stand with outside seating and bright lights.,"A hotdog stand with outside seating, bright lights, and a cat falling out of a tree.",hotdog stand with outside seating and bright lights.
26,129062,2,Put a wedding cake on one of the tables.,remove the wedding cake on the table,"A hotdog stand with outside seating, bright lights, and a cat falling out of a tree.","A hotdog stand with outside seating, bright lights, and a wedding cake on one of the tables, with a cat falling out of a tree.",hotdog stand with outside seating and a wedding cake on one of the tables
27,129587,1,He should be eating a watermelon,he should not be eating a watermelon,a large elephant that is standing up eating,A large elephant standing up and enjoying a watermelon,elephant eating watermelon
28,129587,2,Could he be in the forest?,Could he be in the field?,A large elephant standing up and enjoying a watermelon,A large elephant standing up and enjoying a watermelon in the forest,Elephant in the forest enjoying a watermelon.
29,129587,3,Put a pond next to the elephant,Remove the pond next to the elephant,A large elephant standing up and enjoying a watermelon in the forest,A large elephant standing up and enjoying a watermelon next to a pond in the forest,elephant next to pond
30,130518,1,remove the computer and add a coffee machine,remove the coffee machine and add a computer,A computer desk with two desk chairs at it.,A coffee station with two chairs at it.,coffee machine and desk chairs
31,134290,1,turn her hair white,turn her hair brown,A girl is blow drying her long hair.,A girl with white hair blow drying her long locks.,white hair girl
32,134290,2,give her a skirt to wear,give her pants to wear,A girl with white hair blow drying her long locks.,A girl with white hair blow drying her long locks while wearing a skirt.,girl blow drying her hair wearing a skirt
33,134597,1,put a party hat on the dog,remove the party hat from the dog,A dog running through a field towards an orange frisbee.,A dog with a party hat running through a field towards an orange frisbee.,dog with party hat
34,139276,1,What if the man had a hat?,What if the man didn't have a hat?,A skateboarder is doing a trick on a hand rail.,A skateboarder with a hat is doing a trick on a hand rail.,skateboarder with hat
35,140513,1,edit some mountains in the background,remove the mountains in the background,Three zebras standing in the middle of a plain in the wild.,Three zebras standing in the middle of a plain with majestic mountains in the background.,mountains in the background
